group_id,nb_techniques,name,aliases
intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee,6,Gallmaker,Gallmaker
intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02,6,Ferocious Kitten,Ferocious Kitten
intrusion-set--88489675-d216-4884-a98f-49a89fcc1643,6,Mofang,Mofang
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,6,Winnti Group,"Winnti Group, Blackfly"
intrusion-set--fa19de15-6169-428d-9cd6-3ca3d56075b7,6,Ajax Security Team,"Ajax Security Team, Operation Woolen-Goldfish, AjaxTM, Rocket Kitten, Flying Kitten, Operation Saffron Rose"
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,5,RedEcho,RedEcho
intrusion-set--5cbe0d3b-6fb1-471f-b591-4b192915116d,5,Suckfly,Suckfly
intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481,5,TA459,TA459
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,5,Cleaver,"Cleaver, Threat Group 2889, TG-2889"
intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3,5,Volatile Cedar,"Volatile Cedar, Lebanese Cedar"
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,5,APT12,"APT12, IXESHE, DynCalc, Numbered Panda, DNSCALC"
intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45,4,Putter Panda,"Putter Panda, APT2, MSUpdater"
intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,4,Group5,Group5
intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb,4,SilverTerrier,SilverTerrier
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,4,Equation,Equation
intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8,4,TA578,TA578
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,4,Threat Group-1314,"Threat Group-1314, TG-1314"
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,4,Thrip,Thrip
intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656,3,Strider,"Strider, ProjectSauron"
intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820,3,Water Galura,"Water Galura, GOLD FEATHER"
intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae,2,APT17,"APT17, Deputy Dog"
intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f,2,GCMAN,GCMAN
intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c,2,AppleJeus,"AppleJeus, Gleaming Pisces, Citrine Sleet, UNC1720, UNC4736"
intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1,2,Orangeworm,Orangeworm
intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,2,APT30,APT30
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,2,PittyTiger,PittyTiger
intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f,1,Moafee,Moafee
intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7,1,Scarlet Mimic,Scarlet Mimic
intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70,1,APT16,APT16
intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850,1,BlackOasis,BlackOasis
