group_name,technique_id,attack_id,technique,tactic,platforms
APT41,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,execution,Windows
APT41,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,persistence,Windows
APT41,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,Scheduled Task,privilege-escalation,Windows
Lazarus Group,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,T1547.001,Registry Run Keys / Startup Folder,persistence,Windows
Lazarus Group,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,T1547.001,Registry Run Keys / Startup Folder,privilege-escalation,Windows
APT41,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,T1547.001,Registry Run Keys / Startup Folder,persistence,Windows
APT41,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,T1547.001,Registry Run Keys / Startup Folder,privilege-escalation,Windows
Lazarus Group,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,T1685,Disable or Modify Tools,defense-impairment,"Containers, ESXi, IaaS, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--69f897fd-12a9-4c89-ad6a-46d2f3c38262,T1589.002,Email Addresses,reconnaissance,PRE
APT28,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619,T1119,Automated Collection,collection,"IaaS, Linux, macOS, Office Suite, SaaS, Windows"
APT41,attack-pattern--70e52b04-2a0c-4cea-9d18-7149f1df9dc5,T1546.008,Accessibility Features,privilege-escalation,Windows
APT41,attack-pattern--70e52b04-2a0c-4cea-9d18-7149f1df9dc5,T1546.008,Accessibility Features,persistence,Windows
APT28,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,T1078.004,Cloud Accounts,stealth,"IaaS, Identity Provider, Office Suite, SaaS"
